system,strategy,full_rel_mse,tail16_rel_mse,final_step_rel_mse,run_name,seed,latent_dim,rollout_len
reaction_diffusion,hybrid_2,0.0080039193853735,0.0156847797334194,0.0222201403230428,rd_seed11_ld24_rl112,11,24,112
reaction_diffusion,hybrid_4,0.0055435514077544,0.011008134111762,0.014359357766807,rd_seed11_ld24_rl112,11,24,112
reaction_diffusion,hybrid_8,0.004338966216892,0.0081786569207906,0.009884824976325,rd_seed11_ld24_rl112,11,24,112
reaction_diffusion,hybrid_16,0.0041299909353256,0.007687761913985,0.0090752858668565,rd_seed11_ld24_rl112,11,24,112
reaction_diffusion,latent,0.0024863064754754,0.0025040677282959,0.0029693183023482,rd_seed11_ld28_rl80,11,28,80
reaction_diffusion,state,0.0028414328116923,0.0028428665827959,0.0035112663172185,rd_seed11_ld28_rl80,11,28,80
reaction_diffusion,latent_branch,0.002757747657597,0.0026872642338275,0.0030437563546001,rd_seed11_ld28_rl80,11,28,80
reaction_diffusion,hybrid_2,0.0025929913390427,0.0025702530983835,0.0030071216169744,rd_seed11_ld28_rl80,11,28,80
reaction_diffusion,hybrid_4,0.0025180329103022,0.0024958222638815,0.0028802417218685,rd_seed11_ld28_rl80,11,28,80
reaction_diffusion,hybrid_8,0.0024941402953118,0.0024634771980345,0.0028429459780454,rd_seed11_ld28_rl80,11,28,80
reaction_diffusion,hybrid_16,0.0024826743174344,0.0024472326040267,0.0028316755779087,rd_seed11_ld28_rl80,11,28,80
reaction_diffusion,latent,0.003597347298637,0.0056298607960343,0.0068047703243792,rd_seed11_ld28_rl96,11,28,96
reaction_diffusion,state,0.0432245917618274,0.1098972931504249,0.1857342272996902,rd_seed11_ld28_rl96,11,28,96
reaction_diffusion,latent_branch,0.0053734485991299,0.0081826439127326,0.009084140881896,rd_seed11_ld28_rl96,11,28,96
reaction_diffusion,hybrid_2,0.0117179220542311,0.0220900624990463,0.0266032684594392,rd_seed11_ld28_rl96,11,28,96
reaction_diffusion,hybrid_4,0.0069213318638503,0.012043965049088,0.0139507353305816,rd_seed11_ld28_rl96,11,28,96
reaction_diffusion,hybrid_8,0.0049396716058254,0.0082823000848293,0.0097321644425392,rd_seed11_ld28_rl96,11,28,96
reaction_diffusion,hybrid_16,0.0038625162560492,0.0060816127806901,0.0070531042292714,rd_seed11_ld28_rl96,11,28,96
reaction_diffusion,latent,0.0044663101434707,0.0080790147185325,0.0093749836087226,rd_seed11_ld28_rl112,11,28,112
reaction_diffusion,state,0.0065679727122187,0.0109669994562864,0.015910355374217,rd_seed11_ld28_rl112,11,28,112
reaction_diffusion,latent_branch,0.0072595016099512,0.0166876018047332,0.0237044040113687,rd_seed11_ld28_rl112,11,28,112
reaction_diffusion,hybrid_2,0.0043010762892663,0.0072893183678388,0.0091684637591242,rd_seed11_ld28_rl112,11,28,112
reaction_diffusion,hybrid_4,0.0036682565696537,0.0059985872358083,0.006740154698491,rd_seed11_ld28_rl112,11,28,112
reaction_diffusion,hybrid_8,0.0037429814692586,0.0063892980106174,0.0072665177285671,rd_seed11_ld28_rl112,11,28,112
reaction_diffusion,hybrid_16,0.0038782265037298,0.0066902516409754,0.0075708283111453,rd_seed11_ld28_rl112,11,28,112
reaction_diffusion,latent,0.00255020824261,0.0028584953397512,0.0034483219496905,rd_seed11_ld32_rl80,11,32,80
reaction_diffusion,state,0.0368043407797813,0.0521406829357147,0.0531353540718555,rd_seed11_ld32_rl80,11,32,80
reaction_diffusion,latent_branch,0.0030366401188075,0.0034179382491856,0.0040209568105638,rd_seed11_ld32_rl80,11,32,80
reaction_diffusion,hybrid_2,0.011855443008244,0.0161777269095182,0.0162020120769739,rd_seed11_ld32_rl80,11,32,80
reaction_diffusion,hybrid_4,0.0050539877265691,0.0063791475258767,0.0065614059567451,rd_seed11_ld32_rl80,11,32,80
reaction_diffusion,hybrid_8,0.0031615782063454,0.0036580148153007,0.0039779129438102,rd_seed11_ld32_rl80,11,32,80
reaction_diffusion,hybrid_16,0.0026600135024636,0.0029674465768039,0.003392627928406,rd_seed11_ld32_rl80,11,32,80
